total_bill,table_size,day,tip
16.99,2,Sun,1.01
10.34,3,Sun,1.66
21.01,3,Sun,3.5
23.68,2,Sun,3.31
24.59,4,Sun,3.61
25.29,4,Sun,4.71
8.77,2,Sun,2.0
26.88,4,Sun,3.12
15.04,2,Sun,1.96
14.78,2,Sun,3.23
10.27,2,Sun,1.71
35.26,4,Sun,5.0
15.42,2,Sun,1.57
18.43,4,Sun,3.0
14.83,2,Sun,3.02
21.58,2,Sun,3.92
10.33,3,Sun,1.67
16.29,3,Sun,3.71
16.97,3,Sun,3.5
20.65,3,Sat,3.35
17.92,2,Sat,4.08
20.29,2,Sat,2.75
15.77,2,Sat,2.23
39.42,4,Sat,7.58
19.82,2,Sat,3.18
17.81,4,Sat,2.34
13.37,2,Sat,2.0
12.69,2,Sat,2.0
21.7,2,Sat,4.3
19.65,2,Sat,3.0
9.55,2,Sat,1.45
18.35,4,Sat,2.5
15.06,2,Sat,3.0
20.69,4,Sat,2.45
17.78,2,Sat,3.27
24.06,3,Sat,3.6
16.31,3,Sat,2.0
16.93,3,Sat,3.07
18.69,3,Sat,2.31
31.27,3,Sat,5.0
16.04,3,Sat,2.24
17.46,2,Sun,2.54
13.94,2,Sun,3.06
9.68,2,Sun,1.32
30.4,4,Sun,5.6
18.29,2,Sun,3.0
22.23,2,Sun,5.0
32.4,4,Sun,6.0
28.55,3,Sun,2.05
18.04,2,Sun,3.0
12.54,2,Sun,2.5
10.29,2,Sun,2.6
34.81,4,Sun,5.2
9.94,2,Sun,1.56
25.56,4,Sun,4.34
19.49,2,Sun,3.51
38.01,4,Sat,3.0
26.41,2,Sat,1.5
11.24,2,Sat,1.76
48.27,4,Sat,6.73
20.29,2,Sat,3.21
13.81,2,Sat,2.0
11.02,2,Sat,1.98
18.29,4,Sat,3.76
17.59,3,Sat,2.64
20.08,3,Sat,3.15
16.45,2,Sat,2.47
3.07,1,Sat,1.0
20.23,2,Sat,2.01
15.01,2,Sat,2.09
12.02,2,Sat,1.97
17.07,3,Sat,3.0
26.86,2,Sat,3.14
25.28,2,Sat,5.0
14.73,2,Sat,2.2
10.51,2,Sat,1.25
17.92,2,Sat,3.08
27.2,4,Thur,4.0
22.76,2,Thur,3.0
17.29,2,Thur,2.71
19.44,2,Thur,3.0
16.66,2,Thur,3.4
10.07,1,Thur,1.83
32.68,2,Thur,5.0
15.98,2,Thur,2.03
34.83,4,Thur,5.17
13.03,2,Thur,2.0
18.28,2,Thur,4.0
24.71,2,Thur,5.85
21.16,2,Thur,3.0
44.3,3,Sat,2.5
22.42,2,Sat,3.48
20.92,2,Sat,4.08
15.36,2,Sat,1.64
20.49,2,Sat,4.06
25.21,2,Sat,4.29
18.24,2,Sat,3.76
14.31,2,Sat,4.0
14.0,2,Sat,3.0
7.25,1,Sat,1.0
38.07,3,Sun,4.0
23.95,2,Sun,2.55
25.71,3,Sun,4.0
17.31,2,Sun,3.5
29.93,4,Sun,5.07
10.65,2,Thur,1.5
12.43,2,Thur,1.8
24.08,4,Thur,2.92
11.69,2,Thur,2.31
13.42,2,Thur,1.68
14.26,2,Thur,2.5
15.95,2,Thur,2.0
12.48,2,Thur,2.52
29.8,6,Thur,4.2
8.52,2,Thur,1.48
14.52,2,Thur,2.0
11.38,2,Thur,2.0
22.82,3,Thur,2.18
19.08,2,Thur,1.5
20.27,2,Thur,2.83
11.17,2,Thur,1.5
12.26,2,Thur,2.0
18.26,2,Thur,3.25
8.51,2,Thur,1.25
10.33,2,Thur,2.0
14.15,2,Thur,2.0
16.0,2,Thur,2.0
13.16,2,Thur,2.75
17.47,2,Thur,3.5
34.3,6,Thur,6.7
41.19,5,Thur,5.0
27.05,6,Thur,5.0
16.43,2,Thur,2.3
8.35,2,Thur,1.5
18.64,3,Thur,1.36
11.87,2,Thur,1.63
9.78,2,Thur,1.73
7.51,2,Thur,2.0
14.07,2,Sun,2.5
13.13,2,Sun,2.0
17.26,3,Sun,2.74
24.55,4,Sun,2.0
19.77,4,Sun,2.0
29.85,5,Sun,5.14
48.17,6,Sun,5.0
25.0,4,Sun,3.75
13.39,2,Sun,2.61
16.49,4,Sun,2.0
21.5,4,Sun,3.5
12.66,2,Sun,2.5
16.21,3,Sun,2.0
13.81,2,Sun,2.0
17.51,2,Sun,3.0
24.52,3,Sun,3.48
20.76,2,Sun,2.24
31.71,4,Sun,4.5
10.59,2,Sat,1.61
10.63,2,Sat,2.0
50.81,3,Sat,10.0
15.81,2,Sat,3.16
7.25,2,Sun,5.15
31.85,2,Sun,3.18
16.82,2,Sun,4.0
32.9,2,Sun,3.11
17.89,2,Sun,2.0
14.48,2,Sun,2.0
9.6,2,Sun,4.0
34.63,2,Sun,3.55
34.65,4,Sun,3.68
23.33,2,Sun,5.65
45.35,3,Sun,3.5
23.17,4,Sun,6.5
40.55,2,Sun,3.0
20.69,5,Sun,5.0
20.9,3,Sun,3.5
30.46,5,Sun,2.0
18.15,3,Sun,3.5
23.1,3,Sun,4.0
15.69,2,Sun,1.5
19.81,2,Thur,4.19
28.44,2,Thur,2.56
15.48,2,Thur,2.02
16.58,2,Thur,4.0
7.56,2,Thur,1.44
10.34,2,Thur,2.0
43.11,4,Thur,5.0
13.0,2,Thur,2.0
13.51,2,Thur,2.0
18.71,3,Thur,4.0
12.74,2,Thur,2.01
13.0,2,Thur,2.0
16.4,2,Thur,2.5
20.53,4,Thur,4.0
16.47,3,Thur,3.23
26.59,3,Sat,3.41
38.73,4,Sat,3.0
24.27,2,Sat,2.03
12.76,2,Sat,2.23
30.06,3,Sat,2.0
25.89,4,Sat,5.16
48.33,4,Sat,9.0
13.27,2,Sat,2.5
28.17,3,Sat,6.5
12.9,2,Sat,1.1
28.15,5,Sat,3.0
11.59,2,Sat,1.5
7.74,2,Sat,1.44
30.14,4,Sat,3.09
20.45,4,Sat,3.0
13.28,2,Sat,2.72
22.12,2,Sat,2.88
24.01,4,Sat,2.0
15.69,3,Sat,3.0
11.61,2,Sat,3.39
10.77,2,Sat,1.47
15.53,2,Sat,3.0
10.07,2,Sat,1.25
12.6,2,Sat,1.0
32.83,2,Sat,1.17
35.83,3,Sat,4.67
29.03,3,Sat,5.92
27.18,2,Sat,2.0
22.67,2,Sat,2.0
17.82,2,Sat,1.75
18.78,2,Thur,3.0
