ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,YEAR,COMPANY
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,3093,1939,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,2496,1986,DC
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,1565,1959,DC
Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Not Minority,Living Characters,1316,1987,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,1237,1940,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,1231,1941,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,1121,1941,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,1095,1989,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,1075,1969,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,1028,1956,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,1028,1956,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,969,1940,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Not Minority,Living Characters,951,1967,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,951,1940,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,934,1938,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,930,1943,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,803,1940,DC
Secret Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Not Minority,Living Characters,716,1994,DC
Public Identity,Good Characters,Brown Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,706,1961,DC
Public Identity,Bad Characters,Green Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,677,1986,DC
Secret Identity,Neutral Characters,Green Eyes,Red Hair,Male Characters,Not Minority,Living Characters,654,1941,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,635,1976,DC
Secret Identity,Data Unavailable,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,605,1942,DC
Public Identity,Good Characters,Green Eyes,Green Hair,Male Characters,Not Minority,Living Characters,595,1965,DC
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Living Characters,593,1968,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,584,1980,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,560,1993,DC
Public Identity,Data Unavailable,Blue Eyes,Red Hair,Male Characters,Not Minority,Deceased Characters,558,1960,DC
Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Not Minority,Living Characters,557,1986,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,549,1971,DC
Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,Not Minority,Living Characters,517,1940,DC
Public Identity,Good Characters,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,492,1959,DC
Public Identity,Good Characters,Purple Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,487,1960,DC
Secret Identity,Data Unavailable,Black Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,470,1965,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,439,1964,DC
Secret Identity,Data Unavailable,White Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,436,1940,DC
Secret Identity,Data Unavailable,Blue Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,429,1986,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,427,1986,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,423,1996,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,422,1940,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,413,1974,DC
Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,Not Minority,Living Characters,399,1980,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,393,1989,DC
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,391,1939,DC
Public Identity,Bad Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Deceased Characters,388,1970,DC
Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,386,1987,DC
Secret Identity,Good Characters,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,386,1978,DC
Secret Identity,Good Characters,Green Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,374,1968,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Living Characters,371,1984,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Deceased Characters,370,1940,DC
